0.ID,1.filename,2.icon,3.name,4.hiraname,5.age,6.sex,7.job,8.color,9.hp,10.mp,11.san,12.db,13.str,14.con,15.pow,16.dex,17.app,18.siz,19.int,20.edu,21.skill,22.setting,23.scenario,24.driverCom,25.managerCom,26.bossCom,27.spiritualCom,28.warcrimCom,29.creatorCom,30.maker,31.height,32.sibling,33.fumble,34.critical
1,Kiyora.html,,きよら,,17,女,JK,レッド　#FF0000,15/15,13/13,64/65,1d4,10,14,13,14,16,16,10,14,CCB<={SAN} 【SAN値チェック】$CCB<=50 【アイデア】$CCB<=65 【幸運】$CCB<=50 【STR * 5】$CCB<=70 【知識】$CCB<=80 【APP * 5】$CCB<=70 【ショックロール】$ccb＜=70　目星$ccb＜=55　聞き耳$ccb＜=41　芸術（服飾）$ccb＜=21　フランス語  　$ccb＜＝31  ドイツ語$ccb＜=60　写真術$ccb＜=90　言いくるめ(威圧)$ccb＜=89　日本刀$ccb＜=50　格闘(キック)$ccb ＜=5     クトゥルフ神話,極道の娘$ハーフ,毒入りスープ$ゲームは一日一時間$遊園地は死で遊ぶ$セーラー服を脱がさないで$デッドマンズエスケイプショウ,日本刀かっこよかった…,かわいい。ニーフリットをよろしく。,強者,強い,男共以上の安心感,地味に初めて作った探索者,,182,兄がいる妹,,
2,Tsuchiki_Tsutomu.html,,土木工,つちきつとむ,19,男,土木工事作業員,フォレストグリーン　#288C66,11/11,11/11,48/55,1d4,13,6,11,14,8,17,16,11,ccb＜=48　San$ccb＜=80   アイデア$ccb＜=55   幸運$ccb＜=55   知識$ccb＜=65   目星$ccb＜=50   聞き耳$ccb＜=45  図書館$ccb＜=80  機械修理$ccb＜=71  重機械操作$ccb＜=80  拳$ccb＜=70  杖（シャベル）$ccb＜=45  制作（日曜大工）　$ccb＜=50  応急手当$ccb＜=42  クトゥルフ神話技能,優しいお兄ちゃん$弟と妹がいて、今は妹と二人暮らし$高卒で就職,人魚の願い$果てにて$傀逅,,しっかりしてるよな,,,,初期の性癖,,191,妹と弟がいる兄,,
3,Ki_Akeru.html,,紀伊明瑠,きいあける,26,男,鍵師,#F0E68C,12/12,10/10,37/50,-1d4,4,12,10,16,10,12,14,16,CCB<={SAN} 【SAN値チェック】$CCB<=70 【アイデア】$CCB<=50 【幸運】$CCB<=20 【STR * 5】$CCB<=80 【知識】$CCB<=50 【APP * 5】$CCB<=60 【ショックロール】$CCB<=84 【鍵開け】$CCB<=70 【隠れる】$CCB<=80 【聞き耳】$CCB<=55 【図書館】$CCB<=80 【目星】$CCB<=35 【機械修理】$CCB<=72 【製作(鍵)】$CCB<=35 【電気修理】$CCB<=50 【経理】$CCB<=31 【電子工学】,鍵・鍵開けオタク,山羊座の牧師は独りぼっち,,,,,,,,169,一人っ子,,
4,Sashihara_Aoko.html,,刺原青子,さしはらあおこ,25,女,刺青彫師,バイオレット　#5A4498,13/13,12/12,60/60,0,13,14,12,15,13,11,12,17,CCB<={SAN} 【SAN値チェック】$CCB<=60 【アイデア】$CCB<=60 【幸運】$CCB<=65 【STR * 5】$CCB<=85 【知識】$CCB<=65 【APP * 5】$CCB<=70 【ショックロール】$ccb＜＝85　目星$ccb＜＝55　聞き耳$ccb＜＝70　図書館$ccb＜＝65  医学$ccb＜＝80  芸術$ccb＜＝50   拳銃$ccb＜＝57   英語$ccb＜＝65  心理学$ccb＜＝65  言いくるめ$ccb＜＝21  クトゥルフ神話$ccb<=5　芸術（演技）,医大中退,迫り来る闇$どうしよう、人殺しちゃった$酒は飲んでも飲まれるな$紅の幻想$なつまつり$ハロウィンワンナイトクルーズ$スモーキンバラッド$（喫煙所）$探索者ピックアップガチャ$Dの信仰,,安定感,,かわいい,タレ目が良い,使い勝手がいい,,159,一人っ子,2,2
5,Harada_Saku.html,,原田朔,はらださく,25,男,外科医,ムーングレイ　#D4D9DC,11/11,13/13,39/65,0,11,10,13,11,12,11,9,19,CCB<={SAN} 【SAN値チェック】$CCB<=45 【アイデア】$CCB<=65 【幸運】$CCB<=55 【STR * 5】$CCB<=95 【知識】$CCB<=60 【APP * 5】$CCB<=50 【ショックロール】$CCB<=70 【拳銃】$CCB<=60 【応急手当】$CCB<=40 【聞き耳】$CCB<=75 【図書館】$CCB<=70 【目星】$CCB<=60 【言いくるめ】$CCB<=61 【外国語（英語）】$CCB<=20 【外国顔（ドイツ語）】$CCB<=80 【医学】$CCB<=1 【クトゥルフ神話】$CCB<=20 【芸術(バイオリン)】$CCB<=40 【心理学】$CCB<=21 【薬学】,医療系家族の落ちこぼれ,幸謳う病$コマドリの葬列【HO1】$貴方は私を二度殺すのね$その髄に君を呼ぶ$Because\ Baby\ I love you.$灰になってよかった$（たたら）,あんまり覚えがない,落ちこぼれやったんか,おじちゃーん☆☆☆！！！,,悪してるとこ観たいぜ,今のところ割といい人,,165,兄が二人いる弟,,
6,Kano_Ryosuke.html,,狩野猟輔,かのりょうすけ,31,男,暗殺者,涅色　#554738,15/15,11/11,55/55,0,11,18,11,3,8,11,16,12,幸運55$アイデア80$知識60$目星  60$聞き耳  99$図書館  25（初期値）$ライフル  90$生物学  72$隠れる 60$ナイフ  70$追跡   40$製作（罠）35,元猟師$左足が無い,はらぺこあおむし$太古の座敷牢$（愛飢ゑヲワル）,,お騒がせな二人がお世話になりました,もうちょっとおしゃべりしたい,,傷痕広がってそう,RPむずい,,169,,,
7,Kuruma_Tsukasa.html,,久留間掌,くるまつかさ,46,男,車掌,紺　#202F55,15/15,6/6,30/30,0,7,14,6,12,10,16,10,14,ccb＜＝80　目星$ccb＜＝50    聞き耳$ccb＜＝50　図書館$ccb＜＝50　応急手当$ccb＜＝50　精神分析$ccb＜＝90　心理学$ccb＜＝51　組付$ccb＜＝71　重機械操作$ccb＜＝35　ナビゲート,運が悪い,混沌を運ぶ者$無開,不憫おじさんかぁいい,かぁいいねぇ,かわいそうだったなぁ,,顔が良い顔が,設定が好き,,186,弟がいる兄,,
8,Kuruma_Takushi.html,,久留間拓志,くるまたくし,38,男,タクシー運転手,暗黒色　#16160E,13/13,12/12,55/60,1d4,9,10,12,17,14,16,14,15,CCB<={SAN} 【SAN値チェック】$CCB<=70 【アイデア】$CCB<=60 【幸運】$CCB<=45 【STR * 5】$CCB<=75 【知識】$CCB<=70 【APP * 5】$CCB<=50 【ショックロール】$CCB<=40 【組み付き】$CCB<=50 【こぶし（パンチ）】$CCB<=30 【応急手当】$CCB<=50 【聞き耳】$CCB<=55 【図書館】$CCB<=80 【目星】$CCB<=80 【運転(自動車)】$CCB<=55 【機械修理】$CCB<=65 【ナビゲート】$CCB<=70 【信用】$CCB<=25 【医学】$CCB<=75 【心理学】$CCB<=30 【博物学】,殺人鬼$掌の弟,雨の日のタクシー$とある幸せな家族の話$【HO1】,,ぱぱあああああああああああああああああ,楽しかったなぁ,俺のパパ…,俺の旦那,父ロール楽しい,,187,兄がいる弟,,
9,Kiyota_Sojiro.html,,清田掃除郎,きよたそうじろう,22,男,大学生兼特殊清掃員,灰色　#9E9E9E,13/13,18/18,78/90,1d4,15,15,18,10,11,11,13,16,ccb<=65  アイデア$ccb<=80 知識$ccb<=90  幸運$ccb＜＝90　投擲$ccb＜＝90　回避$ccb＜＝71　薬学$ccb＜＝80　掃除（芸術）$ccb＜＝75　目星$(ccb＜＝25　聞き耳)$ccb＜＝39　精神分析$ccb＜＝31　法医学$ccb＜＝45　隠す$ccb<=2  クトゥ神$ccb<=57 拳$ccb＜＝35 図書館$ccb<=30 機械修理,鈍感,white room-矛盾本能-$密室シェアハウス【HO1】$極楽浄土に棲む魚ver上司$ワンルーム・ディスコン$【HO3】$(たたら),惹ちゃんの敵,わしの子からしたら特に敵ではない,やばい,地雷トラウマ製造機,邪悪なルフィ,よく馴染む,,168,一人っ子,2,0
10,Jyoshima_Shirase.html,,情島報,じょうしましらせ,23,女,記者兼情報屋,橙色　#EE7800,10/10,12/12,60/60,1d4,13-1,7,12,8,14,13,17,14,ccb＜＝90　目星$ccb＜＝80　聞き耳$ccb＜＝80　図書館$ccb＜＝50　言いくるめ$ccb＜＝30　心理学$ccb＜＝40　写真術$ccb＜＝60　追跡$ccb＜＝30   英語$ccb＜＝35　法律$ccb＜＝50　信用,好奇心旺盛$マスゴミ,私、友蔵の孫の友人です。,また会いたいな,あまり一緒になりたくないよね,NPCありKPの時に来てほしくない,無邪気,1情島で3狂人有るから常識人連れて来ざるおえない,記者ロール楽しい,,167,一人っ子,,
11,Osakabe_Nariyuki.html,,刑部事,おさかべなりゆき,36,男,刑事,ボルドー　#6A1917,13/13,18/18,90/90,1d4,14,13,18,9,11,12,13,16,ccb＜＝90  目星$ccb＜＝60  聞き耳$ccb＜＝75  図書館$ccb＜＝45  応急手当$ccb＜＝75  拳銃$ccb＜＝64  心理学$ccb＜＝50  法律$ccb＜＝71  精神分析$ccb＜＝70  拳$ccb＜＝51  キック$ccb＜＝50  マーシャルアーツ(柔道)$ccb＜＝25  頭突き,堅物,庭師は何を口遊む【HO1】$シュガーレス・ハッピーバレンタイン,質実剛健,一生ついていきます,硬派筆頭,頼りになる,おっさん図ラブしてぇ,しゃべれ,,172,弟がいる兄,,
12,Okane_Kakeru.html,,岡根賭,おかねかける,21,男,ギャンブラーという名のニート,ストロベリー　#E73562,13/13,7/7,12/35,1d4,12,12,7,17,16,13,14,14,ccb＜＝70　目星$ccb＜＝60　聞き耳$ccb＜＝30   図書館$ccb＜＝85   言いくるめ$ccb＜＝35   芸術(イカサマ)$ccb＜＝51   変装$ccb＜＝41   鍵開け$ccb＜＝75   隠れる$ccb＜＝40   歴史$ccb＜＝60   忍び歩き,闇金に借金してるパチカスヒモ男$大学受験に失敗している$優秀な兄にコンプ,沼男は誰だ？【HO2】,映画館でカジノしようぜ～！,姫芽子はあなたのことを忘れない！,上司と花札せーへん？,ごめんね,もっと鳴かせたかった,もっと色々させたかった,,174,兄がいる弟,,
13,Kishi_Kaisei.html,,岸海生,きしかいせい,15,男,高校生,シアン　#00FFFF,14/14,15/15,75/75,1d4,14,11,15,9,11,17,13,16,CCB<={SAN} 【SAN値チェック】$CCB<=65 【アイデア】$CCB<=75 【幸運】$CCB<=70 【STR * 5】$CCB<=55 【知識】$CCB<=80 【APP * 5】$CCB<=55 【ショックロール】$ccb＜＝80　目星$ccb＜＝80　聞き耳$ccb＜＝90　水泳$ccb＜＝75　登攀$ccb＜＝55　跳躍$ccb＜＝80　応急手当$ccb＜＝61　生物学$ccb＜＝31　地質学$ccb＜＝21　天文学$ccb＜＝51　操縦（ボート）$ccb＜＝75　杖（銛）,圧倒的太陽属性,海も枯れるまで【HO2】$チョコレイトはいかが？$無色透明の真夏,いい子過ぎて…suki...,ありがとう,うらやま,純粋かわいい,LINE交換したわ,眩しい,,192,一人っ子,,
14,Syo_Setsuka.html,,荘雪華,しょうせつか,20,女,大学生兼小説家,アイリス　#C7A5CC,13/13,8/8,31/40,0,7,12,8,15,16,13,14,15,ccb＜=75　目星$ccb＜=50　聞き耳$ccb＜=80　図書館$ccb＜=50   オカルト$ccb＜=65   英語$ccb＜=71    博物学$ccb＜=30    隠れる$ccb＜=50    回避$ccb＜=56    天文学$ccb<=41　芸術（文学）,箱入り娘$彼氏持ち,アイリスからの恋文$ノアの感情論,,会ってみたい,いや、結構声もよかったぞ,顔がいい,シルバニアファミリーの赤ちゃん？,声が気に食わない,,165,弟がいる姉,,
15,Yashirozaki_Iku.html,,社先生,やしろざきいく,32,男,中学校社会科教員,イエローオーカー　#C4972F,12/12,11/11,47/55,0,7,11,11,16,11,13,14,14,CCB<={SAN} 【SAN値チェック】$CCB<=70 【アイデア】$CCB<=55 【幸運】$CCB<=35 【STR * 5】$CCB<=70 【知識】$CCB<=55 【APP * 5】$CCB<=55 【ショックロール】$CCB<=72 【回避】$CCB<=60 【応急手当】$CCB<=60 【隠れる】$CCB<=60 【聞き耳】$CCB<=41 【精神分析】$CCB<=75 【図書館】$CCB<=85 【目星】$CCB<=71 【心理学】$CCB<=45 【法律】$CCB<=31 【歴史】,自分の意思がなく$常に人の顔色を伺っている$差し歯,ソープスクール【HO1】$欲求の階段$検証A,燿でいじめたい(願望),かわいそうでかわいい,正直、よう知らんねん2,いじめてる時正直ドキドキした,社虐最高！社虐最高！と言いなさい,サンドバック,,173,一人っ子,0,4
16,Yaku_Zantetsu.html,,夜久斬鉄,やくざんてつ,28,男,ヤクザ,#660033,12/12,16/16,57/80,1d4,13,11,16,10,9,13,13,15,CCB<={SAN} 【SAN値チェック】$CCB<=65 【アイデア】$CCB<=80 【幸運】$CCB<=65 【STR * 5】$CCB<=75 【知識】$CCB<=45 【APP * 5】$CCB<=55 【ショックロール】$ccb＜=60　目星$ccb＜=50　聞き耳$ccb＜=25　図書館$ccb＜=85　拳$ccb＜=80　キック$ccb＜＝71　マーシャルアーツ$ccb＜=50　心理学$ccb＜=60　言いくるめ(威圧)$ccb＜=60　拳銃$ccb＜=65　法律$ccb＜=50　応急手当て$ccb＜＝4 クトゥルフ神話,シスコン$若頭補佐,落園$(たたら),エセ関西弁すき,RPうますぎかて,ルカと会ってみーひん？,顔,夢デリヘルになっちゃいそう,ヤクザロール楽しい,,174,妹がいる兄,,
17,Matsudo_Saien.html,,松戸才円,まつどさいえん,40,男,科学者,黒緑　#333631,,,,,,,,,,,,,,,（カタシロ）,,あ”あ”ああああああああああああああああああ,,,あんな可愛い娘なら堕ちても仕方ないな！,愚か者,,,,,
18,Meta_Takatsugu.html,,米田高次,めたたかつぐ,25?,女？,無職,　バイオレット　#5A4498,10/10,11/11,55/55,0,12,9,10,13,4,11,14,11,CCB<={SAN} 【SAN値チェック】$CCB<=70 【アイデア】$CCB<=55 【幸運】$CCB<=65 【STR * 5】$CCB<=55 【知識】$CCB<=65 【APP * 5】$CCB<=50 【ショックロール】$CCB<=48 【回避】$CCB<=80 【拳銃】$CCB<=68 【応急手当】$CCB<=50 【聞き耳】$CCB<=37 【精神分析】$CCB<=75 【図書館】$CCB<=50 【目星】$CCB<=27 【芸術(日本画)】$CCB<=89 【心理学】$CCB<=4 【クトゥ神】,メタい,カタシロアナザー$white room-矛盾本能-$灰になってよかった,,これからに期待,運で会いたい,これからも生きて,,メタ発言できて楽しいよ,,159,一人っ子,,
19,Shintan_Himoroginomikoto.html,,薪炭神籬命,しんたんひもろぎのみこと,？？？,男,土地神,焦香　#AE7C58,13/13,11,55/55,1d4,11,12,11,10,9,14,12,21,CCB<={SAN} 【SAN値チェック】$CCB<=60 【アイデア】$CCB<=55 【幸運】$CCB<=55 【STR * 5】$CCB<=105 【知識】$CCB<=45 【APP * 5】$CCB<=60 【ショックロール】$CCB<=85 【聞き耳】$CCB<=81 【精神分析】$CCB<=75 【図書館】$CCB<=60 【目星】$CCB<=80 【火操】$CCB<=80 【信用】$CCB<=66 【考古学】$CCB<=61 【人類学】$CCB<=70 【博物学】$CCB<=85 【歴史】,おおらか,ぼくとかみさまのなつやすみ【HOかみさま】,,,,,家の神様です！,おじいちゃん,,179,兄がいる弟,,
20,Bijl.html,,Bijl,ベイル,20?,？？？,処刑人,パウダーブルー　#BCCDDB,9/9,9/9,45/45,0,15,8,9,8,5,9,13,15,CCB<={SAN} 【SAN値チェック】$CCB<=65 【アイデア】$CCB<=45 【幸運】$CCB<=75 【STR * 5】$CCB<=75 【知識】$CCB<=25 【APP * 5】$CCB<=40 【ショックロール】$CCB<=46 【回避】$CCB<=85 【斧】$CCB<=75 【応急手当】$CCB<=70 【隠れる】$CCB<=60 【聞き耳】$CCB<=10 【忍び歩き】$CCB<=1 【精神分析】$CCB<=75 【図書館】$CCB<=80 【目星】$CCB<=41 【変装】$CCB<=60 【医学】$CCB<=30 【オカルト】$CCB<=50 【歴史】$1d8+2 斧,信心深い,ジャンヌの猟犬【HO4】,,別世界線のオレ,,,,これはいいロスト,,154,一人っ子,,
21,Kikkai_Bunya.html,,吉貝ブン哉,きっかいぶんや,35,男,ジャーナリスト,ダークオリーブグリーン　#556B2F,11/11,13/13,65/65,1d4,15,7,13,12,11,15,11,12,CCB<={SAN} 【SAN値チェック】$CCB<=55 【アイデア】$CCB<=65 【幸運】$CCB<=75 【STR * 5】$CCB<=60 【知識】$CCB<=55 【APP * 5】$CCB<=35 【ショックロール】$CCB<=44 【回避】$CCB<=75 【こぶし（パンチ）】$CCB<=31 【マーシャルアーツ】$CCB<=71 【鍵開け】$CCB<=50 【聞き耳】$CCB<=65 【写真術】$CCB<=25 【追跡】$CCB<=65 【図書館】$CCB<=80 【目星】$CCB<=50 【説得】$CCB<=50 【オカルト】,親孝行$額の傷は若い頃不良やっててできたもの,火点し頃の蜘蛛踊り【HO2】$蛾と踊る,,めくらを守るんだよ,ずっと一方的なちょっかいかけてたい,,困ったときはいつでも呼んでください！,普通に良い人,,183,妹がいる兄,3,3
22,Tsube_Toko.html,,津辺冬煌(ダダ),つべとうこう,23,男,youtuber,イエロー　#FFFF00,13/13,11/11,55/55,0,12,14,11,11,8,12,9,11,CCB<={SAN} 【SAN値チェック】$CCB<=45 【アイデア】$CCB<=55 【幸運】$CCB<=60 【STR * 5】$CCB<=55 【知識】$CCB<=40 【APP * 5】$CCB<=70 【ショックロール】$CCB<=35 【聞き耳】$CCB<=25 【図書館】$CCB<=70 【目星】$CCB<=50 【跳躍】$CCB<=70 【信用】$CCB<=55 【オカルト】$CCB<=80 【芸術(ゲーム)】$CCB<=51 【コンピューター】,十四松$就活鬱で自殺未遂$四人組YouTuber「さむシンズ」の黄色担当,好きなことで、生きていく$【HO1】$地を這う標$素晴らしき新年,,ダダダダダダダダダダダダ～,,十四松とカラ松って…コト！？,,優しみの権化,,172,兄がいる弟,,
23,Tosatsu_Saho.html,,土佐津咲穂,とさつさほ,27,女,精肉屋補佐,真紅　#A22041,11/11,10/10,50/50,0,11,9,10,11,10,12,14＋2,11,CCB<={SAN} 【SAN値チェック】$CCB<=80 【アイデア】$CCB<=50 【幸運】$CCB<=55 【STR * 5】$CCB<=55 【知識】$CCB<=50 【APP * 5】$CCB<=45 【ショックロール】$CCB<=75 【ナイフ】$CCB<=50 【隠れる】$CCB<=72 【聞き耳】$CCB<=50 【図書館】$CCB<=65 【目星】$CCB<=70 【製作(料理)】$CCB<=65 【心理学】$CCB<=54 【生物学】$CCB<=5 【クトゥルフ神話技能】,父のスカジャンを着る$人間不信$過度に突き放した喋り方をする,雨降らしの蝶【HO4】$（愛飢ゑヲワル【HO人間】）,"かわいい！！！！！！！
また一緒に遊ぼうね♡",とてもかわいい,,,全部お前が悪いんだ、お前のせいで,ひどい目に遭え！！！！！！,,162,一人っ子,,
24,Otonari_Sakura.html,,音成作楽,おとなりさくら,22,女,ソングライター,ライトシーグリーン　#20B2AA,9/9,12/12,60/60,1d4,14,6,12,10,9,11,16,15,CCB<={SAN} 【SAN値チェック】$CCB<=80 【アイデア】$CCB<=60 【幸運】$CCB<=70 【STR * 5】$CCB<=75 【知識】$CCB<=45 【APP * 5】$CCB<=30 【ショックロール】$CCB<=55 【頭突き】$CCB<=40 【隠す】$CCB<=80 【聞き耳】$CCB<=50 【図書館】$CCB<=65 【目星】$CCB<=85 【製作(曲)】$CCB<=65 【芸術(ギター)】$CCB<=76 【コンピューター】$CCB<=60 【心理学】,ボカロP上がり$陰キャオタク,キルキルイキル,,,合掌,一生一緒にいようね-うん,,ぎゅ………（限界感情）,,161,妹がいるかもしれない,,
25,Amashita_Sadayuki.html,,天下决判,あましたさだゆき,20,男,大学生,甚三紅　#EE827C,11/11,15/15,75/75,0,12,11,15,8,10,11,15,14,CCB<={SAN} 【SAN値チェック】$CCB<=75 【アイデア】$CCB<=75 【幸運】$CCB<=60 【STR * 5】$CCB<=70 【知識】$CCB<=50 【APP * 5】$CCB<=55 【ショックロール】$CCB<=66 【キック】$CCB<=50 【マーシャルアーツ】$CCB<=50 【聞き耳】$CCB<=70 【図書館】$CCB<=60 【目星】$CCB<=68 【説得】$CCB<=65 【心理学】$CCB<=75 【法律】$CCB<=72 【歴史】,お人好し$合気道二段,辜月のN【HO2】,,まじでかわいい,決判はほんますごいなぁ、,ほんとによかったなぁ,,顔が描きやすい,,166,一人っ子,,
26,Rubbish.html,,rubbish,ラビッシュ,10,男,ジャンク屋,向日葵色　#FCC800,11/11,11/11,55/55,1d4,17,14,11,13,7,8,13,13,CCB<={SAN} 【SAN値チェック】$CCB<=65 【アイデア】$CCB<=55 【幸運】$CCB<=85 【STR * 5】$CCB<=65 【知識】$CCB<=35 【APP * 5】$CCB<=70 【ショックロール】$CCB<=80 【頭突き】$CCB<=75 【隠れる】$CCB<=55 【聞き耳】$CCB<=65 【目星】$CCB<=63 【機械修理】$CCB<=51 【操縦(宇宙船)】$CCB<=61 【変装】$CCB<=40 【値切り】,実験施設生まれ$言語機能に問題あり,ぼくらのシャングリラ、$あの子のほうき星,,将来どんな関係になるんだろうか,抱き枕,,叩きたい　抑えられない　この気持ち,"効果音会話楽しいけど
タイミング測るの難しい",,140,血縁関係のない兄弟が三人　末っ子,,
27,Seishin_kai.html,,清心叶維,せいしんかい,30,男,精神科医,ターコイズ　#009B9F,11/11,14/14,70/70,0,12,9,14,14,10,12,16,18,CCB<={SAN} 【SAN値チェック】$CCB<=80 【アイデア】$CCB<=70 【幸運】$CCB<=60 【STR * 5】$CCB<=90 【知識】$CCB<=50 【APP * 5】$CCB<=45 【ショックロール】$CCB<=50 【応急手当】$CCB<=47 【聞き耳】$CCB<=94 【精神分析】$CCB<=75 【図書館】$CCB<=55 【目星】$CCB<=55 【機械修理】$CCB<=50 【電気修理】$CCB<=77 【信用】$CCB<=68 【医学】$CCB<=75 【心理学】$CCB<=36 【生物学】$CCB<=61 【薬学】,誰とでも仲良くできる,紡命論とシンギュラリティ$【HO4】,ときみつせんせより怖い,こわわわ,事故ってみたい,ときみつせんせとはまた違うベクトルでくそ怖い,くぅ…,怖くないお,,171,一人っ子,,
